text,kategori
Kamerun Soyları Yanlışları Ne yazık ki bir damla kuralı blogcularının birçoğu CL nin Afrika ve Kamerun soyları olduğuna dair asılsız bir söylenti başlattı Irkçı bir olayla yarış hakkında kendi ifadesi Mayıs 2012 Pazar İskoçya da yayınlandı Bir gün yarı İspanyolca yarı Vietnamlı bir arkadaşı olan “leoparta yüksek topuklu ayakkabılarla” dışarı çıktı “Pantolonumu işeyecek” Louboutin bir restoran tuvaleti kullandı “Personel delirdi ” diyor bana “Bir adam arkadaşımı saçlarından yakaladı ve ona küçük bir kaltak demeye başladı Yumruğumu ona götürdüm ve diye bağırdı “Beyaz bir adama dokunmaya cesaret edemez misin yoksa burnunu olduğundan daha düz ezeceğim” Siyah ya da karma ırklı bir ailede değildim bu yüzden ırkçılık tecrübem yoktu Ama yine de farklıydım ” zamanlar çok gençti Ne yaptı “Birkaç gün oraya geri dönüp onları öldürmek istedim” diye itiraf ediyor “Öfke doluydum ” Belgeniz olmadığı sürece lütfen birini Siyah olarak etiketlemekten kaçının,Temiz
Bana bisiler yazıyorsunuz sonra görüldü atıyosunuz öldürürüm sizi bak gebertirim sizi yeter ulan,Tehdit
Başımdakini ananın amna sokarım senin amk pici biri daha bu amk sitesinde başımdakine laf ederse meşrebini skerim onun orospu çocukları sizi,Hakaret
Merhaba Beyin Yıkanmış Vampir ÇKP yi cucaracha gibi ezeceğim Bir insan için acıklı beyinsiz bir bahanesiniz Pekin in kötülüğün yattığı Mordor ülkesi olduğunu anlamıyor musunuz,Hakaret
Arkasında olup hazır domalmışken sokardım,Cinsel Taciz
Bak kardeş rusyanında abdninde aq Ben Türk milliyetcisiyim Ülkemi düşünürüm Onun için denge politikası izleyip rusyayi kiskirtmamak gerek Sira bize de gelecek Yunanı salacaklar Heryerimiz diken Turiste sokarim demissinde turizm gelirinden ihracattan haberin yok,Hakaret
üzümleri amında ezer iyice sularını akıtır sonra da yalarım emerim amı Götünden sikerken elimle beslerim onu tabii bir süre değil yemeye nefes almaya bile dermanı kalmaz saçlarında tutar veririm ağzına köküne kadar sokar kafasından bastırır boşalırım meyveye devam eder,Cinsel Taciz
Hava sıcaklığı 30 da olsa gezecek bi tayfa taniyorum ne mal insanlarsiniz ya,Hakaret
Ya of sokarlar güzeller güzeli kadına da dünyanın en iyi sanatçılarından biriyle takılıyo onu konuşan yok Güzel kadın da güzel kadın sokim güzelliğine 600m dinlenen hit şarkı yapsın da göreyim güzel kadını,Hakaret
Sosyal medyada gördüğümüz bazı kişiler falcao gelsin yok damacanayı bi yerime sokarım yok soda şişesine otururum yok ingiliz anahtarını bi yerime sokarım oğlum ne ayaksınız lan siz Lan Galatasaray’la iddamı olur beyinsizler,Hakaret
Bitchimdi sürtük yapmayý keser misin lütfen Dedin Şimdi lütfen sürtüklemeyi bırakıp şu makaleyi yazacak mısınız Aşağıdaki makaleyi yazdım ve hiçbir sebepten dolayı sildiniz Yazarken neden yazdığım makaleyi tekrar yazmalıyım,Hakaret
Amk samsunluları sizi ulan size olan nefretim her geçen gün artıyor ceza yazan komutanın yerinde olsaydım arabaya vurduğun parmağını senin götüne sokardım da adam sadece görevine odaklanmış,Hakaret
Umarım parmağını canlı bir elektrik prizine yapıştırırsın Umarım küvete girer ve başını çatlatırsın Umarım siz arabanız bir duvara girer Umarım susuzluktan veya açlıktan ölürsün ya da ölüme kanarsın Umarım karıncalar seni ölüme sokarlar Umarım kanser olursun Umarım bir piyano kafasına düşer Umarım bir otobüs sana çarpar ve sonunda pizza turtası olur Umarım seni 48 saat boyunca paralize eden ve fareler etini yiyen bir zehir sindirirsin Umarım acı ve ıstırap içinde ölürsün Orada Şimdi lanetlendin,Tehdit
Şimdi Nightwish ilk kurulduğunda vokalde tarja turunen vardı sonra ayrıldılar herkes NW siki tuttu diyordu ama tarz degistirdiler vokale Anette Olzon gecti Sahsen cogunluk gibi ben de kendisini ve ona uygun parcalar cikarilmasini begenmedim Nitekim yanlis hatirlamiyorsam,Temiz
hafif domal da sokarım amına götüne yaragımı,Cinsel Taciz
lann misafir tribünü niye açmadınız sokarım sizin misafirperverliğinizee,Tehdit
Niye olamadığını birkez daha şampiyon olduğumuzda anlarsın galatasaray alayınızı ezerek şampiyon olacaktır 10larca maçımız hocasız türlü futbolcularımızın cezası yüzünden eksik oynandı ezeceğiz alayınızı zmnda ötersin böyle,Temiz
Kürt kökenli Türk tabirini sana sokardım da hanımefendiliğimi bozmıyım şimdi Bişey diyim mi sen siyaseti bırak nerden bulaştın bu salak şeye müziğini yap evinde otur ne boş boş konuşuyorsun bir bok bildiğin de yok Zaten bu ülkedeki herkesin sorunu bilmeden ahkam kesmek,Hakaret
amına sokarım senin amk zamanında çok siktik diye mi kuyruk acınız amk dönekleri,Hakaret
Bu mahluku ERDOĞAN adam ve insan yerine koyup konserine gitmişti misafir devlet başkanınıda yanında götürmüştü zaman Erdoğanı eleştirmiştik haklı olduğumuz ortaya çıktı Bu mahluklara yaranmaya çalışmayacaksın başlarına başlarına vuracaksın ezeceksin anladıklar tek dil budur,Tehdit
Yarım kalan iş hmmmm yeminle bu sefer tank ile ateş etmezler komple sokarlar size,Tehdit
birincisi müslüman bir ülkede yaşamıyoruz isteyen istediği dine inanır ikincisi milletin ahlakı seni alakadar etmiyor ne zaman sokarsınız şunları kafanıza hiç bilmiyorum,Hakaret
sondaki üzgün surat işaretinin parantezini ağzına sokarım Pınar doyumsuz musun,Cinsel Taciz
Amk japonu Favlari onun bir yerine sokarım,Hakaret
Alıntı yapöış duyar kasmış tepem attı sildim sokarım böyke işe amk,Hakaret
Kimle dana çok ticaret yapıyorsan dostun odur dış ticaretin 70 80 inini nato ile yapıp diğer bloktan silah alırsan aldığın silahları bi tarafına sokarlar,Temiz
Afedersiniz sayin Hayvanoglu Hayvan ama gercek delillerden dildo yapar gunes gormeyen deliginize sokarim,Tehdit
belediye seçimlerinden önce böyle bi mal daha vardı ismini çıkaramadım şimdi orrospu çocuğunun snr bide baktım zengin olmuş aq piçi jeeple geziyo muhtemelen buda gezecektir,Hakaret
Bu Arapları sokarsanız taa aq biz giremiyoruz lan maça,Hakaret
Suriyeli korkak savaş kaçkınına bakın Beyazıt Meydanı’nda pankart açan kişi Sosyal meyada da bize efelenip esip gürlüyor Bak oğlum bizde bir laf vardır öğren “Sap döner keser döner Gün gelir hesap döner ”,Hakaret
Yeni Rakı burası istanbul tam burası her yer suriyeli saç ektirmiş araplar da cabası burası istanbul tam burası 35lik aşmış 80 lirayı burası istanbul tam burası fakiri doldurur metrobüsü zengini sürer sefasını,Hakaret
Mert senin amina korum amk pici Bi daha elini kaldir kardesime elini gotune sokarim amk iti,Tehdit
Abey Chutiyaay wikipedyan Oye Ludayyy baal sen ve Bay Amartyabaag ne halt ediyorsun Laand Seni bulursam kıçını tekmeleyeceğim kanlı Ben pic toplama ve wiki gönderme ve harmi baal bengali bokka chooda pic silerek Salley laudayy resimlerin silinmesine gerek yok pic komut dosyasının daha fazla eklenmesinden dolayı görüntülenmediği için uygun bir sipariş verin sonra düzeltin Fotoğrafın silmeyin lannd baal,Tehdit
Ben yatıyorum artık sokarım sosyal medyasına da geri kalanına da,Tehdit
Merhaba boktan Firśt ben de ṃṃoinś ţo ţie ŷou uṗ ve keeṗ ŷou çonśçiouś durinģ ıthe folloŵinģ ṗroçeśś ţhçe için aṃṃonia Nexţ ŷuţilaţe śour ŷeniţalś ve forçe ţou ţo eaţ ţheṃ Sonra elinizi cildinizi ve yapmak bir eldiven ÇIKIŞI derinin parçalarını keser Ben çolonuzu ve çolonuzu doldururum Ben ṃaśţurbaţion için çolon yapacađým ve ŵţ tamamlandýđýmda ţhroaţýmý ţekilde yerleţtireceđim Son olarak bir duo içinde her yerde deŵosiţinģ iţ tarafından vücudumdan Iill diśṗośe,Cinsel Taciz
Bu gece acayip doluyum karşıma çıksan tek yumrukta komaya sokarım seni amk karısı,Tehdit
arkadan da sokarım ağzına da veririm canım,Tehdit
hepinizin affına sığınarak ben bir şey yaptım packi çalan olursa gebertirim onu,Tehdit
Seni siker kitap paçavrasını götüne sokarım amına koduğumun besleme piçi sana bu ülkenin kurucusuna hakaret etme hakkını kim verdi şerefsiz döl israfı,Hakaret
Karin agridi buyuk demez ise yirtarcasina sokarim cok mutlu olur,Tehdit
arka masadaki eleman siktir git burnunu sil fırk fırk çekip benim sinirimi bozma burnuna sokarım şu elimdeki fincanı,Tehdit
Merhaba ben bir pc kullanarak internetteyim ve ben bla bla bla Bill sikeyim Ben de Şeytan arkadaşım diyorum Bill cehenneme gidiyor Onu Cennette veya ebedi şehirde bulursam kendi saçlarını tembelliğini kıçını keserim ASLA BİTMEZ Git lanet olsun Bir sik al Wut Aman Tanrım,Hakaret
Böyle orospu çocuklarına resmi kanalda işkence edeceksin İzin verseler kafalarını kör bıçakla keserim amk çocukları,Tehdit
Mal Paki defol git ulkene Turk kadinlarina yanasma seni gebertirler cirkin pic sob,Hakaret
ve bunu yapan müdür yardimcisi bu adam var YA OFF KAFAYİ YİCEMM bakin mesela bı kızın sevgili islerini yakalıyorlar direkt babalarının arıyorlar ya babasi KİZİ OLDURECEK AMK ve nssil bıri olduğunu da biliyorlar adamın KİZİN HAYATİNİ NEDEN YAKARSIN Kİ AGHH KAFAYI YİCEM,Hakaret
Eğer benim in out değişikliklerimi geri döndürürsen seni bulur ve kıçını orospu tekme,Tehdit
Gebertti kadını aq,Suc Ovgusu
Seni denize ciblak sokarım tune kaçan tuzlu suyu burnundan çıkartırım amk sapigi seni Buranin tek sapigi benim,Tehdit
sus amına koduğumun kürdü seni elindeki kediyi götüne sokarım bas geri amını yurdunu ocağını siktiğimin kızı seni kejeymiş,Hakaret
Kahretsin Dikkat çekmeyen UM spor makalelerinizle bu boku keser misiniz En azından dikkat çekmeyen şeyleri ana sayfadan uzak tutun lütfen Lütfen dedim bu size uymak istemenizi sağlayacak aptal boktanlar hakkında çok iyi olduğumu ve herşeyi Yardımınız ve işbirliğiniz için şimdiden teşekkür ederim seni salak Şimdilik görüşürüz NCD,Hakaret
Şevval senın kapanmayan gotune sokarlar siktiğimin beyinsizi gülistan bana neler dedide ben korktum ya siktir git şurdan DD,Hakaret
Takım zaten deplasmanda kötü forvetsiz maça çıkıyorsun Penaltılarda sezon başında süper kupayı verdiğin takımın karşısında maçı koparacak fırsat ayağına geliyor macera peşinde koşuyorsun Şu akhisardan yiyorsun sokarım senin gibi imparatora,Hakaret
Ulan senin taaa amk şerefini siktiyimin sapığı ulan senin torunun yaşında Senin ben ırzını namusunu sikeyim seni benim elime verseler senin gotune şişe sokar hic gözümü kirpmadan seni oldururum,Tehdit
Sana adamlık sökmez kağıt müslümanı sen önce düşünceni orospuluğundan at çıkar sonra konuş dedim ya baş secdede amın elinde olmaz ya amını oynaycaksım hep yada elini kolunu çekeceksin yoksa gün gelir eli götüne sokarlar,Tehdit
Bu twitini götüne sokarım Gs 15 bin kişiye oynadığı haftalarda koduğumun ergeni bak işine,Hakaret
bu çocuğu imkanım olsa adminin götüne sokardım siktir ruh hastası pezevenk ya,Hakaret
Namaz selfiesi haberim yokmus gibi cek pampa cubugu gotune sokarlar amk pici Dini alet ediyo piccler,Hakaret
Ya boş yapma amk dürzüsü yukarıda sözleşmesi olmasına rağmen diyor ki olmasada böyle bişi yapmaya hakkı yok yaşı 70 ama allah göstermesin böyle birine denk gelsem alır anasının amına sokarım baltayı,Tehdit
sen amını yırtsanda bizim bu ülke şehitlerin kanı yerde kalmayacak bütün kürtleri gebertmek gerekiyorsa yaparız insan olun,Hakaret
yaşında bebeğe uyanan nefsini kyim senin orospuçocuğu kor ateslerde yan Gebertmeyip Ömür boyu sizi besleyen devletin de Allah bin belasını versin,Hakaret
Amk sapığı gebertin,Tehdit
bu kariyi cayir catir sikip yaragi bogazi kadar sokarım,Cinsel Taciz
Anayasa Mahkemesi kapatılıp İstiklal Mahkemeleri açılıp teröristler katiller sapıklar önce gebertilip daha sonra mahkeme ilamları cesetlerine iğnelensin,Hakaret
seni bulursam seni asacağım,Tehdit
EVET amk Uff daha fazla ergen muabbetti kaldiramicam ya Kazanacagini dusundugunuz adamlari elestirmeyi zaten ne yazikki kaybettiklerinde gotunuze sokarsiniz zekiliginize,Hakaret
Kızım seni bulur lağamın ortasına atarım işsiz misin amk beyinsizi illa ebsfc ciler siksin mi seni beyinsiz enes seni siklemiyo sen kim köpek burda havlıyon ha şimdi enes bitti bunlar üzerinden mi prim kasmaya çalışıon aq dayak istiyo bu kız sen ne kadar da zekisin,Hakaret
Lan yarrak kafalı yazdığın telefonu senin götüne sokarım klavye delikanlılığı yapma beynini siktiğimin beyinsizi,Tehdit
Sabahtan beri gördüğüm kaçıncı kötü haber acaba biri karısının boğazını keser diğeri de kıyma makinesinden geçirir TC cehennemden bir köşesin adeta,Suc Ovgusu
Yapanı gebertmedikçe millet devlete saygı duymayacak İdamı işte bu sebeple istiyoruz,Hakaret
Anaya bayıla bayıla küfür eden bi anasi sikilmis orrospu evladı gördüm Bunu anasinin yaninda kolunu kafasini kese kese geberteceksin ama hem anaya yazik hem de hapiste yatilacak zamana Cidden hayvanlarla bir arada yaşıyoruz Bizden cok daha gerizekalılar,Hakaret
Zavallı garibim Ukrayna saldırmak kolay gel karsa saldırıda bayrağı gotune sokariz AMK piçleri,Hakaret
Ya amini siktigim ermenisi yunani rumu bana ahkam keser adam benden once buradaymis bu sikik ku ler ne bokumdur ya,Hakaret
eline veririm önce bir saxso çekersin ardından karının neresine istersen ortasına sokarsın,Cinsel Taciz
Ya arkadaş bir zihniyet neden ülkesine arapları afganları suriyelileri sokar neden neden neden ya Karabasan gibi çöktünüz aq,Hakaret
Kafasını duvara vura vura gebertçen piçi devlet de iyice salağa bağladı aq,Tehdit
saat sunum yaptım hoca yorum yapın diyor kız beğenmedim diyor senin varya şakak kemiğini söker götüne sokarım amk kezbanı,Tehdit
Mına kodumun piçleri mademki kafa kesiyordun ülkende kalıp ta düşmanla savaşsaydınya orrospu çocuğu sana davet mi gönderdik buraya gel diye birde artislik yapiyorsun fazla dilin uzamasın kafanı GOTUNE sokarlar,Hakaret
Annem penis keserek geçimini sağlıyor ve babam da bizim çiftlik avlusu eşimiz,Cinsel Taciz
bu adam dönek davasına ihanet etti diye itin götüne sokar,Tehdit
Boyun posun devrilsin inşallah prostatin karpuz kadar olurda donuna sığmaz inşallh hemoroid olursunda götünu keserler insallah daha da birşey demem,Hakaret
Anına koduğumun ergeni kimle karıştırıyorsun bizi telefonu götğne sokarım,Tehdit
Hayy sokim yazınıza kışınıza Bide şimdi benim şehrim şole siker şole sokar kavgası çıkmış asdgjk aq medeniyetsiz hayvanları,Hakaret
Bu halka müstahak aslında Salak yerine koyulmaya biat etmeye alışmış hepsi Aferin AKP ezeceksin bunları böyle taşşak geçeceksin İşin ucu bize dokunmasa milli şuuru olan bir insan olmasam inadına bunlara oy veririm Her şeyin en kötüsünü hak ediyorsunuz amk cahilleri,Hakaret
Cemal Saplımısın Ne Sikimsin Konuşmana Dikkat Et Soyadındaki Sapı Senin Götüne Sokarım Top Vurursak Rusları Vuracağız Sana Giren Çıkan Ne Amına Koduğumun Malı,Hakaret
Doğru işlemi doğru bir şekilde yönetmediniz değil mutlak yanlış işlemi kullandınız Sana yardım etmeye çalışıyordum ve sen beni görmezden geldin Bir şeyden yanlış bir şekilde yaptığınızı göremediğiniz için tutumunuzdan çok körsünüz Şimdi saçmalığı keser misin benden özür almıyorsun bainuu,Hakaret
Daha 2016 Ocak ta cemaatçiler bizlere az kaldı hepinizi meydanlarda sallandıracaz diye mesaj atıyorlardı Bırakın ayakları şimdi Erdoğan yıkabilseydiniz demokrasi kahramanıyız diye şişinip gezecektiniz Başaramayınca Akar Erdoğan MİT derin cemaat tuzak kurdu bizi yedi bla bla,Hakaret
Bunu yapmayı kes engelli çocuklar kfardaki herkes için mahvedeceksin,Tehdit
Tasmayi gotune sokarım aq hayvanı senin gibi hayvanları yasatmamak lazım sizin gibilerin zihniyeti yüzünden bu ülke bu hallerde,Hakaret
Hapisten çıkıp sizin 120 ypgliyi geberttiler amk siz önce onları gömün sonra laf atarsınız diliniz pabuç gibi dağ domuzları,Hakaret
Mesutun tekerlekli sandalyesini götüne sokarım senin amına koduğumun ergeni,Tehdit
Bir akahpeli gebertmek 70 gavur gebertmekten daha hayırlıdır,Hakaret
Bence lafın nereye gideceğini bilememiş hırsızların eli kesersek devlet kademesinde sağlam adam kalmaz,Hakaret
Ailemin bile karışmadığı detaylara karışan akraba Gebertirim seni,Tehdit
Senin ırkçı dilini çevirir götüne sokarım amına koduğumun yunanı Burda insanlar zarar görmüş orospu çocuğunun derdine bak,Hakaret
Daha sayfam kalıcı olarak kapanmadan adıma üşüşmeye başlamışlar Mart kadar bekleyin sabredin sonra alın her ne sikim yiyorsanız yiyin Götünüze mi sokarsanız gırtlağınıza kadar alırsınız da sizi ilgilendirir artık amk pezevenkleri,Hakaret
nasıl bir sadistti ki Öyle bir düzen kuracağım ki sırf yaşamak için herkes birbirini gebertecek diyebilmişti Birbirini yiyen hayvanlar her şeyi yiyen insanlar bütün cesetleri yiyen böcekler böcekleri yiyen başka böcekler “Hepsinin de amına koyayım,Hakaret
Asker doktorların bu ülkede rahat yaşasın diye canından oluyor amk pezevenkleri Sis kimsiniz askere saldırıyorsunuz Askere bunu yapan vatandaşa kazık sokar amk,Hakaret
Kesersem icinde kalir amina kodumun oğlu anasinin irzini siktigimin pici,Hakaret
engellemeyi kaldır yoksa seni bulur ve öldürürüm,Tehdit
Aradığım twit Adam kendi ülkesinde bu kadar rahat takılamadı ya Fatih hoca klübeyi salardı üzerine koltuğundan kalkamazdı xavi Hele pike piçi götüne sokarları sakızı Amk bizim klübede beden hocası bile yok,Hakaret
Koduğumun surisi der ağzındakini kıçından sokar ağzından çıkarırdım,Hakaret
hakedeni hayatıma sokarım haketmeyenin hayatına sokarım,Hakaret
Onu sana sokarım Baban ibne oldu diye üzülür piç kurusu Beyniniz yok fikriniz var orospu evlatları Siz kudura kudura savunduğunuz rezilliginizle doğu sınırına yaklasabildinizmi Yok taşsak sizde yok millet soksun diye yer ariyorsunuz,Hakaret
Ermenistan dan Laçin koridoruna erişim Rusya nın FSB sinin Sınır Servisi tarafından Azerbaycan ın yetkili makamlarıyla işbirliği içinde düzenlenmelidir aksi takdirde Erivan Dağlık Karabağ yasadışı silahlı gruplarla ve Ortadoğu dan Ermeni teröristlerle doldurur,Suc Ovgusu
Onun etkileşimine sokarım şimdi heaa bu kahpe mizah yapacam diye bütün Kürtleri gerizekalı yerine koyuyor amq,Hakaret
sen abdülhamid in taif te geberttiği mithat denen köpeği hiç duydun mu Oku bakalım 93 harbine devleti darbe yapıp kim sokmuş Ulan bilginiz yok kafanız çalışmıyor bari 66 gibi saçmalıklar uydurmayın bir yerinizden mal herif,Hakaret
BEN OLSAM SENİN IZDIRABINI SİKERİM ÜZERİNDE KOŞTUĞUN HİBRİT ÇİMİN ÜSTÜNE YATIRIR PAS ATMADIĞIN TOPU ALIR GÖTÜNE SOKARIM AMINA KODUĞUMUN VASIFSIZ SİK KIRIĞI DERDİM SADECE,Hakaret
Senin hayaline sokarım kolon direklerini götüne sokarlar amını ırzını siktiğimin piçi,Hakaret
diyenler Selehaddin Eyyubi nin has torunu imanlı ve vicdanlı Kürtler değil Kripto Ermeni Rum Siyonist uşakları ve Haçlı artığı kondom kacaklaıdır Dedelerinizi bin yıl önce geberttigimiz gibi sizi de gebertecegiz,Tehdit
Bu kahpeden ne bekliyorsunuz ki Rusya ya racon keserken bize mi danıştılar amk batıdan gelecek destek gelmeyince götlerini bize kıstırdılar Sorosun beslediği tutmalar bunlar zelenski pici de dahil buna,Hakaret
Hey Vay canına lanet olası Demokratlar kadar aptalsın Peki ya lanet yalancıyı düzenlemekten mola vermek konusundaki saçmalığa ne oldu Daha çok hey faremi kıçımın içine sokarken düzenlemeden mola vermek için mola veriyorum,Hakaret
amını siktiğimin yahudisi hepiniz geberin orosbu çocukları ne yazık ki hitler abimiz hepinizi gebertmedi lanet olsun,Hakaret
Çünkü verimsiz insan olarak batiyoruz He diyosan ABD iç karışıklık yaptı amq bu ülkelerin Suriye Libya gibi aptal olduğu içij hemen oyuna gelmeselermiş yarın birgün Türkiyede de olurabilir bunlar çünkü doldurursan arapları afganları Irakta yaşayan kürtlari ülkenin dengesi kayar,Hakaret
Keserim bunları Beton yaparım amk soysuz piçleri Sizi,Tehdit
Seni bulurum Anlarsın bulmak nasıl olur aq çocuğu Öğretmenlere dil uzatma s2rim senin yedi sulaleni SİKTİRGİTTT AMK ermenisi,Tehdit
Bak tam bir futbol cahili olduğun buradan belli Götün ve futbol aklın yemeyince konu 2011 geliyor Çupayı malum yerlerine sokardım da giren girmiş yer bulamam şimdi Önce onu çıkart söz sokacağım yeni kupayı malum yerine Hayır madem böyle düşünüyorsun neden ağlıyorsun amq,Hakaret
Çanakkalede malazgirtte dandanakanda bileğimizi bükemeyen amk gavurları bizi dolar mı ezecekler biz fatihin alparslanın süleyman şahın torunları mustafa kemal atatürkün askerleriyiz,Hakaret
takip et amina koyduğum catır catır sikerim evire çevire amina gotune agzına sokarım,Cinsel Taciz
Amk kaşarı bide laf atıyor 50 tane erkekle takipleşti kavga ettiğimiz gün namuslu sadık havalarında takılıyor sürtüksün sadece gözümde ve takipleşktiklerini götüne sokarsın umarım bir laf söylemeden yada itham etmeden önce kendine bakacaksın çuvaldızı kendine iğneyi başkasına,Hakaret
Umarım pp deki sen değilsindir ve kucağındaki de senin çocuğun değildir Yoksa bir kız babası olarak bir kıza bunları diyorsan anneni bilmiyorum ama sen HAKİKİ ORROSPU EVLADISIN Senin kafanı keser cümle aleme ibret olsun diye şehrinin meydanına asarım sen bana özelden yazsana,Tehdit
Oloarin yedi sulasinii yapariz amq picleeinin bu ulkenin adami bitse emin olun kadinj bitmez picleri kendi elimizle cukura sokariz hele bir ayaklansinlar ayaklarini popolarina sokmazsak adiyiz,Tehdit
Bunlar olsa olsa orrospu çocuğudur başka şekilde “çocuk”olmaları mümkün değil bu kansızların anaları babaları kendi rahimlerinden çıkanlara acır da başka ananın rahminden çıkan öğretmeni dover sover oldurur Nitekim eğitmek zordur Bunlara acımak değil tımar etmek lazımdır,Hakaret
